english_word,arabic_word,arabic_replacement,note
course,مساق,مقرر,
course,مساقي,مقرري,
course,لمساقي,لمقرري,
course,لمساق,لمقرر,
course,مساقات,مقررات,
course,المساق,المقرر,
course,كمساق,كمقرر,
course,بمساق,بمقرر,
course,المساقات,المقررات,
course,بالمساقات,بالمقررات,
course,للمساق,للمقرر,
course,للمساقات,للمقررات,
course,مساقك,مقررك,
course,مساقاتك,مقرراتك,
course,بمساقك,بمقررك,
course,بالمساق,بالمقرر,
course,لمساقك,لمقررك,
course,ومساقات,ومقررات,
course,مساقاتهم,مقرراتهم,
course,مساقنا,مقررنا,
course,مساقاتي,مقرراتي,
